Tectonic regime,Lithology,Structural setting,Gross,Netpay,Porosity,Permeability,Depth,Oil density,Oil recovery factor,NGE
COMPRESSION,LIMESTONE,SALT,75.0,30.0,21.0,60.0,1486.5,825.0728862973759,0.26,0.4
GRAVITY,LIMESTONE,PASSIVE MARGIN,28.5,4.5,12.0,20.0,2610.0,801.6997167138811,0.34,0.15789473684210525
COMPRESSION,THINLY-BEDDED SANDSTONE,RIFT,90.0,81.0,17.930090497737563,3500.0,1692.6,933.993399339934,0.36,0.9
COMPRESSION,DOLOMITE,INTRACRATONIC,180.0,120.0,17.930090497737563,10.0,1140.0,815.5619596541786,0.48,0.6666666666666666
COMPRESSION,LIMESTONE,SUB-SALT,90.0,31.5,10.0,20.0,1800.0,876.1609907120743,0.3,0.35
COMPRESSION,LIMESTONE,SUB-SALT,182.1,32.4,10.0,20.0,2874.0,839.7626112759642,0.3,0.17792421746293247
COMPRESSION,SANDSTONE,FORELAND,15.0,14.7,20.0,15.0,1980.0,825.0728862973759,0.43,0.98
COMPRESSION,SANDSTONE,FORELAND,2400.0,172.5,5.0,0.1,4575.0,825.0728862973759,0.12,0.071875
INVERSION,SANDSTONE,RIFT,265.8,103.2,17.0,500.0,2937.0,829.9120234604104,0.64,0.38826185101580135
COMPRESSION,DOLOMITE,INTRACRATONIC,24.0,13.8,14.0,15.0,1672.5,820.2898550724636,0.38,0.5750000000000001
INVERSION,SANDSTONE,SALT,162.3,110.1,20.0,200.0,2278.5,822.6744186046512,0.49,0.6783733826247689
COMPRESSION,DOLOMITE,INTRACRATONIC,30.0,15.0,10.0,15.0,1641.0,820.2898550724636,0.39,0.5
STRIKE-SLIP,SANDSTONE,WRENCH,201.0,0.0,21.0,250.0,885.0,815.5619596541786,0.53,0.0
COMPRESSION,DOLOMITIC LIMESTONE,FORELAND,42.3,7.8,17.930090497737563,24.0,828.0,865.4434250764525,0.19,0.1843971631205674
